Sentence1,Sentence2,Label
AI is transforming industries,Artificial intelligence is revolutionizing sectors,1
I love coffee,The sky is blue,0
Deep learning is fascinating,Machine learning is a subset of AI,1
Football is a great game,Basketball has a hoop,0
Quantum computing will change everything,Quantum computing is the future,1
Machine learning is a subset of AI,AI and machine learning go hand in hand,1
Natural language processing is an interesting field,NLP involves understanding human language,1
The sun rises in the east,The sun sets in the west,0
Climate change is a major concern,Global warming affects the planet,1
The internet connects people worldwide,The web brings people together,1
AI chatbots are getting smarter.,The Earth is flat according to some people.,0
Smart homes rely on IoT and AI.,The Earth is flat according to some people.,0
Robots are becoming more intelligent with AI.,Cats are better than dogs in racing.,0
Artificial intelligence is revolutionizing healthcare.,AI chatbots are getting smarter.,1
AI chatbots are getting smarter.,The best way to write code is with no errors.,0
Predictive analytics saves time and money.,I prefer rainy days over sunny days.,0
Predictive analytics saves time and money.,Pineapples belong on pizza.,0
Natural language processing powers virtual assistants.,Robots are becoming more intelligent with AI.,1
Artificial intelligence is revolutionizing healthcare.,Artificial intelligence is revolutionizing healthcare.,1
Smart homes rely on IoT and AI.,I prefer rainy days over sunny days.,0
Smart homes rely on IoT and AI.,The Earth is flat according to some people.,0
Artificial intelligence is revolutionizing healthcare.,Mars has the same atmosphere as Earth.,0
Machine learning models are improving daily.,Smart homes rely on IoT and AI.,1
Machine learning models are improving daily.,Winter is hotter than summer.,0
AI chatbots are getting smarter.,The best way to write code is with no errors.,0
Robots are becoming more intelligent with AI.,AI chatbots are getting smarter.,1
AI helps in wildlife conservation.,Artificial intelligence is revolutionizing healthcare.,1
Quantum computing will revolutionize security.,Smart homes rely on IoT and AI.,1
Smart homes rely on IoT and AI.,Natural language processing powers virtual assistants.,1
Artificial intelligence is revolutionizing healthcare.,I prefer rainy days over sunny days.,0
Robots are becoming more intelligent with AI.,Cats are better than dogs in racing.,0
Quantum computing will revolutionize security.,AI helps in wildlife conservation.,1
AI chatbots are getting smarter.,Machine learning models are improving daily.,1
Robots are becoming more intelligent with AI.,Birds can swim in the ocean.,0
Smart homes rely on IoT and AI.,Pineapples belong on pizza.,0
Quantum computing will revolutionize security.,Winter is hotter than summer.,0
Machine learning models are improving daily.,Mountains are located under the sea.,0
AI chatbots are getting smarter.,The moon is made of cheese.,0
AI helps in wildlife conservation.,Birds can swim in the ocean.,0
Self-driving cars use deep learning.,AI chatbots are getting smarter.,1
Natural language processing powers virtual assistants.,AI chatbots are getting smarter.,1
Artificial intelligence is revolutionizing healthcare.,Predictive analytics saves time and money.,1
Robots are becoming more intelligent with AI.,Winter is hotter than summer.,0
Self-driving cars use deep learning.,Mars has the same atmosphere as Earth.,0
Smart homes rely on IoT and AI.,Birds can swim in the ocean.,0
Natural language processing powers virtual assistants.,Predictive analytics saves time and money.,1
Robots are becoming more intelligent with AI.,The moon is made of cheese.,0
Natural language processing powers virtual assistants.,AI chatbots are getting smarter.,1
Machine learning models are improving daily.,Mars has the same atmosphere as Earth.,0
Self-driving cars use deep learning.,Predictive analytics saves time and money.,1
Self-driving cars use deep learning.,Robots are becoming more intelligent with AI.,1
Artificial intelligence is revolutionizing healthcare.,The moon is made of cheese.,0
Self-driving cars use deep learning.,Self-driving cars use deep learning.,1
Smart homes rely on IoT and AI.,Pineapples belong on pizza.,0
Predictive analytics saves time and money.,Robots are becoming more intelligent with AI.,1
Predictive analytics saves time and money.,I prefer rainy days over sunny days.,0
Machine learning models are improving daily.,Quantum computing will revolutionize security.,1
Natural language processing powers virtual assistants.,AI helps in wildlife conservation.,1
Self-driving cars use deep learning.,Self-driving cars use deep learning.,1
Quantum computing will revolutionize security.,Natural language processing powers virtual assistants.,1
Artificial intelligence is revolutionizing healthcare.,The best way to write code is with no errors.,0
AI chatbots are getting smarter.,Mars has the same atmosphere as Earth.,0
Self-driving cars use deep learning.,Machine learning models are improving daily.,1
AI helps in wildlife conservation.,The Earth is flat according to some people.,0
Self-driving cars use deep learning.,Predictive analytics saves time and money.,1
Artificial intelligence is revolutionizing healthcare.,Smart homes rely on IoT and AI.,1
Smart homes rely on IoT and AI.,Natural language processing powers virtual assistants.,1
Artificial intelligence is revolutionizing healthcare.,Self-driving cars use deep learning.,1
Smart homes rely on IoT and AI.,AI chatbots are getting smarter.,1
Smart homes rely on IoT and AI.,Cats are better than dogs in racing.,0
Natural language processing powers virtual assistants.,Winter is hotter than summer.,0
